text,emotion
my parents told me they are proud of me and it meant everything.,happy
I had a routine check up at the doctor this morning,neutral
I feel intense rage every time I think about what happened,angry
I have been staring at this screen for twelve hours straight.,stressed
"I am beyond stressed, I am genuinely on the verge of breaking",stressed
I sorted through my mail and discarded the junk,neutral
I found an old photo and burst into tears remembering that time,sad
my workload is completely unsustainable and i am at my limit.,stressed
I am absolutely disgusted by their behavior.,angry
"I feel overwhelmed, anxious and completely out of control.",stressed
I have been feeling deeply sad for weeks and can't shake it.,sad
I just want to feel okay again but I don't know how,sad
"I feel on top of the world today, nothing can bring me down.",happy
they keep disrespecting me and i have had enough.,angry
My chest feels tight from all the stress I am carrying,stressed
i cannot eat or sleep properly because of everything piling up.,stressed
I feel so tense and anxious about everything right now,stressed
she makes even the most ordinary moments feel magical.,romantic
i am absolutely furious at how unfair this situation is.,angry
I just want to feel okay again but I don't know how.,sad
i took a short break and had a glass of water.,neutral
i yelled today because i had been pushed way too far.,angry
i have been putting out fires all day and i am exhausted.,stressed
i am completely frazzled and can't think clearly anymore.,stressed
The meeting was informational and lasted about an hour,neutral
She makes even the most ordinary moments feel magical,romantic
"I am beyond angry, this is a matter of basic decency",angry
I went to the grocery store and bought some vegetables,neutral
i have too much to do and not nearly enough time.,stressed
our first dance felt like the whole world disappeared.,romantic
I completed my tasks for the day and logged off on time,neutral
i watched an old video and realized how much i miss those days.,sad
"The weekend was so fun and relaxing, I feel recharged.",happy
i refilled my water bottle and sat back down at my desk.,neutral
i have been staring at this screen for twelve hours straight.,stressed
I feel forgotten by everyone who used to matter to me.,sad
I worked so hard and they just dismissed me without a thought,angry
I can't believe how selfish and cruel some people can be,angry
I cannot focus on anything because my anxiety is through the roof.,stressed
i love her so deeply it sometimes takes my breath away.,romantic
She is the reason I believe in love again,romantic
"i cannot believe they did that, it is completely unacceptable.",angry
i got a standing ovation after my performance tonight.,happy
"how dare they treat people this way, this is outrageous.",angry
I love the way she cares for everyone around her so gently.,romantic
I got a standing ovation after my performance tonight.,happy
I want to hold her hand and never let go,romantic
He spoke to me like I was nothing and I am still fuming.,angry
I love her so deeply it sometimes takes my breath away.,romantic
I am completely frazzled and can't think clearly anymore,stressed
I am sick and tired of being ignored and walked over.,angry
I am completely drained from stress and need this to end.,stressed
i am completely and utterly head over heels in love.,romantic
I feel like I am running a race with no finish line.,stressed
My relationship ended today and I don't know how to cope,sad
My team lost the final and after all our effort it breaks my heart,sad
i charged my phone and put it on the desk.,neutral
"i am beyond stressed, i am genuinely on the verge of breaking.",stressed
I love her in a way that is quiet and deep and endless.,romantic
I am worried about so many things and it is affecting my health.,stressed
I keep making mistakes because I am running on empty,stressed
i read a few pages of my book before going to bed.,neutral
i printed the documents needed for tomorrow's meeting.,neutral
I keep thinking about all the things I wish I had said,sad
I had oatmeal for breakfast and then headed to work.,neutral
I have been working eighteen hour days and I am falling apart,stressed
the meeting was informational and lasted about an hour.,neutral
I feel completely alone even when I am surrounded by people.,sad
We stayed up all night talking and I have never felt so connected,romantic
